번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
"82","국제물류론","IT01","중","국제 공급망 환경의 변화에 대응한 기업의 물류전략으로 가장 적절하지 않은 것은?","","화물 위치와 재고정보를 실시간으로 공유하여 공급망 가시성을 높인다.","디지털 정보가 충분하면 지연 가능성이 사라지므로 대체 운송경로나 안전재고를 검토할 필요가 없다.","탄소배출을 줄이기 위해 운송수단과 물류거점의 에너지 효율을 검토한다.","공급 중단에 대비하여 조달처와 운송경로를 다변화할 수 있다.","반품·재사용·재활용을 포함하는 회수물류 체계를 마련할 수 있다.","2","디지털 가시성은 위험을 조기에 파악하도록 돕지만 지연이나 공급 중단 자체를 없애지는 못한다. 따라서 대체 경로와 안전재고 같은 복원력 대책은 여전히 필요하다. 나머지는 최근 국제물류의 디지털화·친환경화·위험분산 방향에 부합한다."
"83","국제물류론","IT03","하","정부 대표들이 참여하여 국제민간항공의 안전기준과 기술표준을 마련하고 시카고협약을 관리하는 국제연합 전문기구는?","","IMO(International Maritime Organization)","IATA(International Air Transport Association)","WCO(World Customs Organization)","FIATA(International Federation of Freight Forwarders Associations)","ICAO(International Civil Aviation Organization)","5","정답은 ICAO이다. ICAO는 정부 간 국제기구로 국제민간항공의 안전과 기술기준을 다룬다. IATA는 항공사 협회이고 IMO는 해운, WCO는 관세, FIATA는 국제운송주선업 분야의 단체이다."
"84","국제물류론","IT03","중","국제항공화물운송의 일반적인 특성에 관한 설명으로 가장 적절하지 않은 것은?","","운임이 높더라도 단위가치가 낮은 대량 벌크화물의 장거리 운송에서 통상 가장 경제적인 수단이다.","운송시간이 짧아 긴급부품이나 고가·소형 화물의 운송에 유리하다.","화물의 안전한 적재와 특수화물 처리를 위해 전문적인 지상조업이 필요하다.","정기편을 이용하면 출발시각과 도착시각을 고려한 운송계획을 수립할 수 있다.","화물추적과 온도관리 등 화물 특성에 맞춘 부가서비스를 제공할 수 있다.","1","항공운송은 신속하지만 단위당 운송비가 높고 적재공간에도 제약이 있어 저가 대량 벌크화물에는 일반적으로 경제적이지 않다. 이러한 화물은 주로 해상운송이 적합하다. 나머지는 항공화물운송의 대표적 특성이다."
"85","국제물류론","IT03","하","국제항공운송 중 화물의 멸실·훼손이나 지연에 관한 운송인의 책임을 검토하려 한다. 1999년에 채택되어 바르샤바 체계를 현대화·통합한 협약은?","","Montreal Convention","Guadalajara Convention","Hague Protocol","Montreal Agreement","Guatemala City Protocol","1","정답은 1999년 몬트리올협약이다. Hague Protocol과 Guadalajara Convention 등은 바르샤바 체계를 보완한 문서이고 Montreal Agreement는 협약이 아닌 항공사 간 약정이다."
"86","국제물류론","IT04","중","복합운송인 M은 선박과 트럭을 직접 운항한다. 운송인 N은 선박을 운항하지 않지만 자기 명의의 선하증권을 발행하여 해상운송을 인수한다. M과 N의 유형을 바르게 연결한 것은?","","M: Contracting Carrier / N: VOCC","M: Actual Carrier / N: NVOCC","M: NVOCC / N: Actual Carrier","M: Ocean Freight Forwarder / N: VOCC","M: NVOCC / N: Contracting Carrier","2","운송수단을 직접 운항하는 M은 Actual Carrier에 해당한다. 선박을 직접 운항하지 않으면서 자기 명의로 해상운송계약을 체결하는 N은 NVOCC이다. VOCC는 선박을 운항하는 해상운송인이다."
"87","국제물류론","IT03","중","다음은 A항공사의 단위탑재용기 요금 적용규정이다. ‘위험물·생동물·귀중품·유해물질에는 BUC를 적용하지 않는다.’ 이 규정에 따라 BUC 적용을 검토할 수 있는 화물은?","","의약용 방사성물질","경주용 생마","일반 산업용 기계부품","고가 보석류","감염성 검체","3","제시된 A항공사의 규정에서 제외하지 않은 것은 일반 산업용 기계부품뿐이므로 ③이 정답이다. 방사성물질은 위험물, 생마는 생동물, 보석은 귀중품, 감염성 검체는 위험물 또는 유해물질에 해당할 수 있다. 실제 적용 시에는 해당 항공사의 최신 운임규정을 확인해야 한다."
"88","국제물류론","IT04","상","복합운송 중 화물이 해상구간에서 훼손되었다는 사실이 확인되자 해당 해상구간에 적용되는 국제규칙을 기준으로 복합운송인의 책임한도를 판단하였다. 이 책임체계는?","","단일책임체계(Uniform Liability System)","절충식책임체계(Modified Uniform Liability System)","무과실책임원칙(Liability without Negligence)","과실책임원칙(Liability for Negligence)","이종책임체계(Network Liability System)","5","손해발생구간이 확인된 경우 그 구간에 적용되는 법이나 국제규칙으로 책임을 판단하는 방식은 이종책임체계이다. 단일책임체계는 구간과 관계없이 동일 기준을 적용하며 절충식책임체계는 두 방식을 조합한다. 무과실책임과 과실책임은 책임의 성립원칙에 관한 구분이다."
"89","국제물류론","IT04","중","다음 그림과 같이 동아시아에서 출발한 컨테이너가 파나마운하를 통과하여 북미 동부 또는 걸프지역 항만에 도착한 뒤 철도나 트럭으로 미국 내륙까지 운송되는 경로는?","q089(2).png","Canada Land Bridge","Reverse Interior Point Intermodal","Overland Common Point","Mini Land Bridge","Micro Land Bridge","2","정답은 Reverse Interior Point Intermodal(RIPI)이다. RIPI는 아시아발 화물을 파나마운하를 거쳐 미국 동부·걸프항으로 운송한 뒤 내륙으로 연결한다. Mini Land Bridge는 미 서안에서 철도로 미 동부 항만까지, Micro Land Bridge는 미 서안에서 내륙지점까지 연결하는 방식이다."
"90","국제물류론","IT04","상","1980년 UN 국제물품복합운송조약의 복합운송증권 규정을 전제로 할 때 가장 적절한 것은?","","복합운송인은 각 운송구간마다 별도의 운송계약만 체결해야 한다.","복합운송증권은 반드시 권리증권의 기능을 갖는 유통성 형식이어야 한다.","송하인은 복합운송증권의 발행 자체를 임의로 생략하도록 요구할 수 있다.","비유통성 증권은 복합운송에서 사용할 수 없다.","송하인의 선택에 따라 유통성 또는 비유통성 복합운송증권을 발행할 수 있다.","5","해당 조약에서는 복합운송인이 물품을 인수하면 복합운송증권을 발행하고 송하인의 선택에 따라 유통성 또는 비유통성 형식을 취할 수 있다. 복합운송은 하나의 계약 아래 둘 이상의 운송수단을 결합하는 것이므로 구간마다 별도 계약만 체결해야 하는 것도 아니다."
"91","국제물류론","IT02","중","채택 또는 발효 여부와 관계없이 해상화물운송인의 책임을 다루는 국제규칙·협약만으로 묶인 것은?","","Warsaw Convention · Montreal Convention · CMR Convention","Hague-Visby Rules · CMR Convention · CIM Convention","Hague-Visby Rules · Hamburg Rules · Rotterdam Rules","Hamburg Rules · Warsaw Convention · Rotterdam Rules","CIM Convention · CMR Convention · Montreal Convention","3","Hague-Visby Rules, Hamburg Rules, Rotterdam Rules는 모두 해상화물운송을 다룬다. Warsaw·Montreal Convention은 항공, CMR은 국제도로, CIM은 국제철도운송과 관련된다. Rotterdam Rules는 채택되었으나 아직 발효되지 않았다는 점과 별개로 해상운송 관련 협약이다."
"92","국제물류론","IT02","중","정해진 항로와 운항일정에 따라 여러 화주의 컨테이너화물을 함께 운송하는 정기선 서비스에 관한 설명으로 가장 적절하지 않은 것은?","","불특정 다수의 화주에게 운송서비스를 제공하는 공중운송인의 성격을 가진다.","서로 다른 종류의 화물을 한 선박에 혼재하여 운송할 수 있다.","운임은 공표된 운임표를 기초로 적용될 수 있다.","운항일정과 기항지가 비교적 규칙적으로 정해져 있다.","개별 화주는 원칙적으로 선박 전체를 빌리는 용선계약서를 작성해야 한다.","5","정기선의 개별 화물운송은 통상 개품운송계약으로 이루어지며 선하증권이 계약의 증거가 된다. 선박 전체나 선복을 빌리는 Charter Party는 주로 부정기선의 용선계약에서 사용된다. 따라서 ⑤가 적절하지 않다."
"93","국제물류론","IT02","중","선박의 제원과 구조에 관한 설명으로 가장 적절하지 않은 것은?","","총톤수(GT)는 선박 내부의 용적을 기초로 산정하는 선박 규모의 지표이다.","흘수(Draft)는 수면에서 선체의 가장 아래쪽까지 잠긴 깊이를 나타낸다.","선교(Bridge)는 선박의 항해와 조종을 지휘하는 주요 장소이다.","재화중량톤수(DWT)는 적재 가능한 화물중량만 뜻하므로 연료·청수·선용품은 포함하지 않는다.","밸러스트수는 선박의 흘수와 복원성을 조정하여 항해안정성을 높이는 데 이용된다.","4","DWT는 선박이 안전하게 적재할 수 있는 총중량으로 화물뿐 아니라 연료·청수·선원·선용품 등의 중량도 포함한다. 따라서 화물중량만 포함한다는 ④가 틀리다. GT는 용적지표이며 Draft, Bridge, 밸러스트수에 대한 나머지 설명은 적절하다."
"94","국제물류론","IT02","중","수출업자가 정기 컨테이너선의 일부 선복을 예약하여 화물을 보내는 개품운송계약에 관한 설명으로 가장 적절하지 않은 것은?","","여러 화주의 화물을 한 선박에 함께 적재할 수 있다.","화주는 선박 전체의 운항지배권을 취득하므로 선장과 선원을 직접 고용해야 한다.","운송계약의 증거와 화물수령증 기능을 하는 선하증권이 발행될 수 있다.","정기선사가 정한 운임체계를 기준으로 운임이 산정될 수 있다.","정기선 해상운송에서 일반적으로 이용되는 계약형태이다.","2","개품운송계약의 화주는 선박 일부의 운송서비스를 이용할 뿐 선박의 운항지배권을 취득하거나 선원을 고용하지 않는다. 그러한 특성은 나용선계약에 가깝다. 나머지는 개품운송계약의 일반적인 특징이다."
"95","국제물류론","IT02","중","목적항에 도착한 컨테이너화물의 수하인이 도착 사실을 통지받고 운송인으로부터 화물 인도지시를 받는 과정에 필요한 서류의 조합은?","","Booking Note · Shipping Order","Arrival Notice · Delivery Order","Mate's Receipt · Shipping Request","Shipping Order · Mate's Receipt","Booking Note · Shipping Request","2","Arrival Notice는 수하인에게 화물 도착을 알리는 서류이고 Delivery Order는 화물 인도를 지시하는 서류이다. Booking Note와 Shipping Request는 선적예약 단계, Shipping Order와 Mate's Receipt는 주로 선적·본선수취 단계와 관련된다."
"96","국제물류론","IT02","중","화주가 복수의 후보 양하항을 지정해 두고 항해 중 최종 양하항을 선택함으로써 선사에 추가적인 운항·적부계획 부담이 발생할 때 적용되는 할증료는?","","Port Congestion Surcharge","Bunker Adjustment Factor","Transshipment Surcharge","Optional Surcharge","Currency Adjustment Factor","4","정답은 Optional Surcharge이다. 후보 항만 중 최종 양하항을 나중에 선택할 때 부과될 수 있다. Port Congestion은 항만혼잡, BAF는 연료가격, Transshipment는 환적, CAF는 환율변동과 관련된 할증료이다."
"97","국제물류론","IT02","하","선박만 인도받은 용선자가 선장과 선원을 채용하고 연료비·수리비 등 운항비용을 부담하며 선박을 점유·관리하는 계약은?","","Voyage Charter","Time Charter","Partial Charter","Lumpsum Charter","Bareboat Charter","5","정답은 Bareboat Charter(나용선)이다. Time Charter에서는 통상 선주가 선원과 장비를 제공하고 Voyage Charter는 특정 항해를 기준으로 한다. Partial Charter는 일부 선복, Lumpsum Charter는 항해용선 운임형태와 관련된다."
"98","국제물류론","IT01","중","다음 그림처럼 기업이 특정 권역의 중앙물류센터에 재고를 집중한 뒤 여러 국가의 판매거점이나 고객에게 분배하는 국제물류시스템은?","q098(1).png","Direct System","Classical System","Multi-country Warehouse System","Transit System","Just In Time System","3","정답은 Multi-country Warehouse System이다. 하나의 권역별 중앙거점에서 여러 국가로 재분배하는 방식이다. Direct System은 생산지에서 고객에게 직접 배송하고 Classical System은 국가별 재고거점을 두며 Transit System은 통과거점을 활용하는 방식이다."
"99","국제물류론","IT01","중","글로벌 공급망의 복원력을 높이기 위한 의사결정으로 가장 적절하지 않은 것은?","","핵심 원재료의 대체 공급처를 사전에 평가한다.","항만폐쇄에 대비해 우회 가능한 운송경로를 설계한다.","주요 공급자의 재무·지정학적 위험을 지속적으로 모니터링한다.","단가가 가장 낮은 단일 공급자에게 전량을 맡기면 총비용과 공급중단 위험이 항상 함께 감소한다.","중요 품목은 조달기간과 중단영향을 고려하여 적정 완충재고를 설정한다.","4","단일 공급자 집중은 구매단가를 낮출 수 있지만 공급중단 위험을 키울 수 있으므로 위험과 총비용이 항상 함께 감소하지 않는다. 나머지는 공급처·경로 다변화, 위험 모니터링, 완충재고를 통해 복원력을 높이는 방법이다."
"100","국제물류론","IT02","상","제철회사가 철광석을 3년간 여러 차례 운송하기로 선사와 계약하고 반복 항해에 적용할 운임조건을 정하였다. 이 운임의 명칭으로 가장 적절한 것은?","","Long Term Contract Freight","Dead Freight","Lumpsum Freight","Pro Rate Freight","Freight All Kinds Rate","1","장기간 반복되는 대량화물 운송계약에 적용하는 운임은 Long Term Contract Freight이다. Dead Freight는 미선적 부족분에 대한 운임, Lumpsum Freight는 항해나 선복을 기준으로 한 일괄운임, Pro Rate Freight는 이행비율에 따른 운임이다."
"101","국제물류론","IT01","중","국내물류와 비교한 국제물류의 특성으로 옳은 것을 모두 고른 것은? ㄱ. 통관·환율·국가별 제도의 영향을 받는다. ㄴ. 복합운송의 활용도가 상대적으로 높다. ㄷ. 운송거리가 짧고 절차가 단순하여 일반적으로 리드타임이 짧다. ㄹ. 무역·운송서류가 늘어나 서류업무가 복잡해질 수 있다. ㅁ. 환율과 국가위험이 추가될 수 있다.","","ㄱ, ㄷ, ㄹ","ㄱ, ㄴ, ㄹ, ㅁ","ㄴ, ㄷ, ㅁ","ㄱ, ㄴ, ㄷ, ㄹ","ㄴ, ㄹ, ㅁ","2","ㄱ·ㄴ·ㄹ·ㅁ이 옳다. 국제물류는 국경통과, 복합운송, 각종 서류와 환율·국가위험의 영향을 받는다. 국제물류는 일반적으로 운송거리와 리드타임이 더 길고 절차도 복잡하므로 ㄷ은 틀리다."
"102","국제물류론","IT04","하","다음 이미지에 나타난 컨테이너의 종류는?","q102(2).png","Dry Container","Open Top Container","Flat Rack Container","Reefer Container","Tank Container","2","정답은 Open Top Container이다. 천장을 열고 크레인으로 상부 적재할 수 있으며 운송 중에는 방수포를 덮을 수 있다. Dry는 밀폐형 일반화물용, Flat Rack은 측벽이 없거나 최소화된 대형화물용, Reefer는 냉장화물용, Tank는 액체·가스용이다."
"103","국제물류론","IT04","중","컨테이너 문에 ‘CSC SAFETY APPROVAL’ 표시가 있는 안전승인판이 부착되어 있고 정기검사를 통해 구조적 안전성을 관리하고 있다. 이 제도의 근거가 되는 국제협약은?","","International Convention for Safe Containers(CSC)","TIR Convention","CMR Convention","Customs Convention on Containers","Marine Insurance Act","1","정답은 1972년 채택된 CSC이다. CSC는 국제운송 컨테이너의 구조적 안전요건과 검사·승인기준을 통일한다. TIR은 국제도로보세운송, CMR은 국제도로화물운송계약, Customs Convention on Containers는 컨테이너 통관제도와 관련된다."
"104","국제물류론","IT04","중","한 수출자가 자신의 화물로 컨테이너 전체를 채워 출발항의 CY에 반입하였다. 목적항에서는 CFS에서 컨테이너를 개장한 뒤 여러 수입자에게 나누어 인도한다. 이 운송형태는?","","CFS/CY","CY/CY","CY/CFS","CFS/CFS","Door/CY","3","출발지에서는 한 화주의 FCL 컨테이너를 CY에서 인수하고 목적지에서는 CFS에서 개장하여 여러 수하인에게 분배하므로 CY/CFS이다. CY/CY는 양쪽 모두 FCL, CFS/CFS는 양쪽 모두 LCL 중심의 형태이다."
"105","국제물류론","IT01","중","운송회사가 상용 화물차마다 단말기를 설치하여 차량 위치·운행기록·화물상태를 관제센터에서 확인하고 이 정보를 배차와 운행관리에 활용하려 한다. 가장 직접적인 시스템은?","","ITS(Intelligent Transport System)","WMS(Warehouse Management System)","EDI(Electronic Data Interchange)","DPS(Digital Picking System)","CVO(Commercial Vehicle Operation)","5","상용차의 위치·운행·화물정보를 수집하여 배차와 운행관리에 활용하는 것은 CVO이다. ITS는 교통체계 전반을 포괄하는 상위개념이고 WMS는 창고관리, EDI는 표준전자문서 교환, DPS는 피킹지원 시스템이다."
"106","국제물류론","IT03","상","UCP 600이 적용되는 신용장에서 항공운송서류를 요구하였다. 제시서류의 제목은 ‘Air Cargo Receipt’이지만 운송인 명칭과 서명, 운송을 위한 인수표시, 출발·목적공항 및 발행일이 기재되어 있고 송하인용 원본으로 보인다. 가장 적절한 판단은?","","서류 제목이 Air Waybill이 아니므로 반드시 거절한다.","항공운송서류는 반드시 3통의 원본 전부가 제시되어야 하므로 거절한다.","본선적재표시가 없으므로 해상선하증권과 동일하게 거절한다.","신용장의 다른 조건도 충족한다면 명칭과 관계없이 UCP 600 제23조의 실질요건을 충족한 서류로 수리할 수 있다.","수하인의 서명이 없으므로 운송인 서명과 관계없이 거절한다.","4","UCP 600 제23조는 항공운송서류를 ‘명칭 여하를 불문하고’ 실질요건으로 판단한다. 제시된 서류는 운송인 표시·서명, 인수표시, 공항, 발행일 및 송하인용 원본 요건을 갖추었으므로 다른 신용장 조건도 충족하면 수리할 수 있다. 해상운송의 본선적재표시나 수하인 서명은 요구요건이 아니다."
"107","국제물류론","IT02","상","UCP 600 제22조에 따른 용선계약 선하증권의 서명주체가 될 수 없는 자는?","","선장(Master)","선주(Owner)","용선자(Charterer)","수하인(Consignee)","선장·선주·용선자의 기명대리인(Named Agent)","4","용선계약 선하증권은 선장, 선주, 용선자 또는 이들의 기명대리인이 서명할 수 있다. 수하인은 제22조에서 정한 서명주체가 아니므로 ④가 정답이다. 대리인이 서명할 때에는 누구를 대리하는지도 표시해야 한다."
"108","국제물류론","IT02","중","다음 사진에서 A가 표시된 대형 크레인 전체의 기능으로 가장 적절한 것은?","q108(3).png","CY에서 컨테이너를 적층하고 트럭에 상·하차한다.","양다리 사이에 컨테이너를 넣어 터미널 내부를 이동한다.","안벽에서 컨테이너선과 육상 사이의 컨테이너를 선적·양하한다.","야드 샤시를 견인하여 Apron과 CY 사이를 이동한다.","선적 전후의 컨테이너를 임시 보관하고 배열한다.","3","사진 속 장비는 Quay Gantry Crane으로 안벽에 설치되어 선박과 육상 사이에서 컨테이너를 적·양하한다. ①은 Yard Crane, ②는 Straddle Carrier, ④는 Yard Tractor의 기능이고 ⑤는 Marshalling Yard에 대한 설명이다."
"109","국제물류론","IT02","중","CMI 해상화물운송장 통일규칙이 적용되는 계약에서 X사는 운송서비스 제공자로 계약에 표시되고 Y사는 화물을 송부한 당사자이며 Z사는 화물을 수령하도록 지정되었다. X·Y·Z의 지위를 바르게 연결한 것은?","","X: Carrier / Y: Shipper / Z: Consignee","X: Shipper / Y: Carrier / Z: Consignee","X: Carrier / Y: Consignee / Z: Master","X: Master / Y: Shipper / Z: Carrier","X: Consignee / Y: Shipper / Z: Carrier","1","운송서비스 제공 당사자 X는 Carrier, 화물을 송부하는 Y는 Shipper, 지정된 수령 당사자 Z는 Consignee이다. Master는 선장을 뜻하며 이 세 당사자 정의의 대체어가 아니다."
"110","국제물류론","IT04","하","해상운송인 또는 NVOCC가 미국행 컨테이너화물의 상세 적하목록을 외국항에서 선박에 적재하기 24시간 전까지 미국 세관당국에 제출하도록 한 제도는?","","10+2 Rule","24-Hour Rule","C-TPAT","AEO","ISO 28000","2","정답은 24-Hour Rule이다. 10+2 Rule은 수입자 10개 항목과 운송인 2개 항목의 사전신고, C-TPAT은 민관 보안협력 프로그램, AEO는 수출입안전관리 우수업체 제도, ISO 28000은 공급망 보안경영시스템 표준이다."
"111","국제물류론","IT04","중","내륙에 설치된 컨테이너기지가 철도·도로 연계, 보세화물 보관, 세관업무 지원 및 LCL 화물의 혼재·분류 서비스를 제공한다. 이 시설에 관한 설명으로 가장 적절하지 않은 것은?","","항만과 떨어진 내륙에서 컨테이너 물류거점 역할을 할 수 있다.","수출입화물의 집배송과 보관기능을 수행할 수 있다.","통관이 끝난 컨테이너만 취급할 수 있으므로 보세화물이나 세관업무와는 관계가 없다.","CFS와 유사한 혼재·분류기능을 수행할 수 있다.","철도와 도로를 연결하는 복합운송거점으로 활용될 수 있다.","3","ICD는 내륙의 컨테이너 물류거점으로 보관·집배송·통관지원·CFS·복합운송 연계 기능을 수행할 수 있다. 통관 완료 화물만 취급하며 보세화물이나 세관업무와 무관하다는 ③은 제시된 기능과도 모순된다."
"112","국제물류론","IT01","중","Incoterms® 2020에서 매도인이 운송계약과 적하보험을 마련하는 두 거래가 있다. A거래는 CIP, B거래는 CIF를 사용하며 당사자들이 별도 보험수준을 합의하지 않았다. 기본적으로 요구되는 담보수준의 연결로 가장 적절한 것은?","","A: Institute Cargo Clauses(C) / B: Institute Cargo Clauses(A)","A: Institute Cargo Clauses(C) / B: Institute Cargo Clauses(C)","A: Institute Cargo Clauses(A) / B: Institute Cargo Clauses(C)","A: Institute Cargo Clauses(A) / B: Institute Cargo Clauses(A)","A와 B 모두 보험가입의무가 없다.","3","Incoterms® 2020에서 CIP는 원칙적으로 ICC(A) 수준의 넓은 담보를, CIF는 ICC(C) 수준의 최소담보를 요구한다. 당사자는 합의로 다른 담보수준을 정할 수 있지만 별도 합의가 없다는 조건에서는 ③이 정답이다."
"113","국제물류론","IT01","중","Incoterms® 2020이 매매당사자 사이에서 직접 정하지 않는 사항은?","","운송·통관 관련 비용을 어느 당사자가 부담하는지","물품의 멸실·훼손 위험이 어느 지점에서 이전되는지","수출·수입통관 의무를 어느 당사자가 부담하는지","물품의 소유권이 법적으로 언제 이전되는지","매도인이 물품을 인도하기 위해 수행할 의무의 범위","4","Incoterms®는 비용, 위험이전, 인도 및 수출입통관 의무의 당사자별 배분을 정한다. 물품의 소유권 이전시점은 매매계약과 준거법에서 정할 사항이며 Incoterms®가 직접 규정하지 않으므로 ④가 정답이다."
"114","국제물류론","IT01","중","그림의 A에서는 물품이 지정 목적지에 도착한 운송수단 위에서 양하 준비가 된 상태이고 B에서는 매도인이 지정 목적지에서 양하까지 마쳤다. A와 B에 해당하는 Incoterms® 2020 규칙은?","q114(1).png","A: DDP / B: DAP","A: DPU / B: DDP","A: FCA / B: DAP","A: CIF / B: DPU","A: DAP / B: DPU","5","A는 도착한 운송수단 위에서 양하 준비가 된 때 인도되는 DAP이고 B는 매도인이 목적지에서 양하한 뒤 인도하는 DPU이다. DDP는 수입통관과 관세부담까지 매도인에게 있다는 점이 추가되며 CIF와 FCA는 이 그림의 목적지 인도상태를 나타내지 않는다."
"115","국제물류론","IT02","중","해상보험계약에서 보험금액을 2억 원, 보험료를 120만 원으로 정하였다. 두 금액의 의미를 바르게 설명한 것은?","","보험금액은 계약자가 지급하는 대가이고 보험료는 보험자의 보상한도이다.","보험금액은 보상한도의 기준이고 보험료는 보험보호의 대가로 계약자가 지급하는 금액이다.","보험금액과 보험료는 모두 실제 손해액을 뜻한다.","보험금액은 손해방지비용이고 보험료는 공동해손분담금이다.","보험금액은 피보험이익이고 보험료는 보험목적물의 시가이다.","2","보험금액(Insured Amount)은 보험자가 부담하는 보상한도의 기준이고 보험료(Premium)는 보험보호의 대가로 보험계약자가 지급하는 금액이다. 실제 손해액·손해방지비용·공동해손분담금·피보험이익과는 서로 다른 개념이다."
"116","국제물류론","IT01","중","2026년 9월 11일 시행 중인 관세법을 기준으로 보세공장에서 외국물품과 내국물품을 원료로 제조한 제품이 아직 수입신고 수리를 받지 않았다. 이 제품의 관세법상 지위로 가장 적절한 것은?","","외국으로부터 우리나라에 도착한 물품으로 보아 외국물품으로 취급한다.","내국원료가 일부 포함되었으므로 전량 내국물품으로 취급한다.","보세공장에서 제조되었으므로 신고 없이 자유롭게 국내 반출할 수 있다.","제품가액 중 외국원료 비율만 외국물품이고 나머지는 자동으로 내국물품이 된다.","수출 예정 여부와 관계없이 제조 즉시 수입신고가 수리된 것으로 본다.","1","관세법상 보세공장에서 외국물품 또는 외국물품과 내국물품을 원료로 제조한 물품은 외국에서 우리나라에 도착한 물품으로 본다. 내국원료가 포함되었다는 이유만으로 전량 내국물품이 되거나 신고 없이 국내 반출할 수 있는 것은 아니다. 법률 문항은 출제 시점의 최신 조문을 다시 확인해야 한다."
"117","국제물류론","IT02","중","적하가 해상위험에 노출되자 피보험자가 추가 손해를 막기 위해 임시창고료와 긴급운반비를 합리적으로 지출하였다. 이 비용손해는?","","현실전손(Actual Total Loss)","단독해손(Particular Average)","추정전손(Constructive Total Loss)","손해방지비용(Sue and Labour Charges)","공동해손희생(General Average Sacrifice)","4","보험사고 후 손해를 방지하거나 경감하기 위해 피보험자가 합리적으로 지출한 비용은 손해방지비용이다. 현실전손·추정전손·단독해손은 물적손해의 유형이고 공동해손희생은 공동의 안전을 위한 의도적 희생과 관련된다."
"118","국제물류론","IT01","하","판유리·합판·타일처럼 넓이를 기준으로 수량을 정하는 물품의 거래단위로 가장 적절한 것은?","","square meter 또는 square foot","ton 또는 kilogram","cubic meter 또는 bushel","meter 또는 yard","piece 또는 dozen","1","판유리·합판·타일은 통상 면적단위인 square meter나 square foot으로 수량을 표시한다. ton·kilogram은 중량, cubic meter·bushel은 용적, meter·yard는 길이, piece·dozen은 개수단위이다."
"119","국제물류론","IT01","상","2026년 9월 11일 시행 중인 관세법상 수출입통관 신고에 관한 설명으로 가장 적절하지 않은 것은?","","일정한 요건을 충족하면 운송수단이 입항하기 전에도 수입신고를 할 수 있다.","세관장은 신고서의 필수 기재사항이 부족하면 보완을 요구할 수 있다.","수출·수입·반송신고는 언제나 화주 본인 명의로만 해야 하므로 관세사의 대리신고는 허용되지 않는다.","관세청장은 수입물품의 검사대상·검사범위·검사방법 등에 필요한 기준을 정할 수 있다.","물품을 수출·수입 또는 반송하려는 경우 법정 사항을 세관장에게 신고해야 한다.","3","관세법은 화주뿐 아니라 법에서 정한 관세사 등의 신고 또는 대리를 허용하므로 화주 본인만 신고할 수 있다는 ③이 틀리다. 입항 전 수입신고, 신고사항 보완 및 검사기준 설정에 관한 나머지 설명은 법정 요건 아래 가능하다. 출제 전 최신 조문과 신고주체 규정을 다시 확인해야 한다."
"120","국제물류론","IT01","상","국제상사분쟁의 해결방법에 관한 설명으로 가장 적절하지 않은 것은?","","중재는 당사자의 중재합의를 기초로 제3자인 중재판정부가 판정을 내리는 절차이다.","국제상사중재는 전문성과 비공개성 때문에 국제거래분쟁에서 활용될 수 있다.","소송은 국가기관인 법원의 판결로 분쟁을 해결하는 절차이다.","뉴욕협약은 외국 중재판정의 승인과 집행을 지원하는 국제적 기반이다.","중재판정은 단순한 권고이므로 패소 당사자가 동의하지 않으면 아무런 구속력이 없다.","5","중재판정은 단순한 권고가 아니라 당사자를 구속하며 관련 법령과 협약에 따라 승인·집행될 수 있으므로 ⑤가 틀리다. 조정은 합의 성립이 필요하지만 중재는 유효한 중재합의에 따라 판정이 내려진다는 점에서 다르다."
