번호,과목,챕터,난이도,문제,문제이미지,보기1,보기2,보기3,보기4,보기5,정답,해설
75,화물운송론,FT02,중,"화물자동차의 중량 및 운송능력에 관한 설명으로 옳은 것은?",,"최대적재량은 차량총중량에서 공차중량을 제외하여 산정하는 개념과 관련된다.","공차중량은 최대한 화물을 적재한 상태에서 측정한 차량의 전체 중량이다.","적재율은 차량의 총주행거리 중 화물을 싣고 운행한 거리의 비율을 의미한다.","실차율은 최대적재가능중량 대비 실제 적재중량의 비율을 의미한다.","차량의 운송능력은 적재가능중량만으로 결정되며 운행횟수와는 관계가 없다.",1,"최대적재량은 차량이 허용 범위에서 적재할 수 있는 화물중량을 의미하며 차량총중량과 공차상태의 중량 관계로 이해할 수 있다. 적재가능중량 대비 실제 적재중량의 비율은 적재율이고, 총주행거리 대비 적재상태 주행거리의 비율은 실차율이다."
76,화물운송론,FT08,하,"전자상거래 확대에 따른 택배운송의 일반적인 특성으로 가장 적절하지 않은 것은?",,"다수의 소형화물을 여러 수취인에게 배송하는 형태가 많다.","집화·분류·간선운송·배송 등의 여러 작업이 연계된다.","배송정보의 신속한 처리를 위해 정보시스템의 활용이 중요하다.","소량 다빈도 주문이 증가하면 배송경로와 차량운영의 효율화 중요성이 커질 수 있다.","다품종 소량화가 진행될수록 모든 화물을 동일한 대량 단위로 묶어 운송하기가 쉬워진다.",5,"전자상거래 확대는 다품종·소량·다빈도 배송을 증가시키는 요인이 된다. 따라서 모든 화물을 획일적인 대량 단위로 운송하기 쉬워지는 것이 아니라 집화·분류와 배송경로 최적화의 중요성이 커진다."
77,화물운송론,FT08,하,"물류정보시스템의 기능에 관한 설명 중 운송관리시스템(TMS)의 활용으로 가장 적절한 것은?",,"창고 내 상품의 입출고·재고 및 보관위치 관리를 중심으로 물류센터 운영을 지원한다.","화물의 운송정보를 활용하여 차량배차와 운송경로 선정 등 운송업무의 의사결정을 지원한다.","생산계획을 기초로 필요한 자재의 종류와 수량 및 소요시점을 산정한다.","기업의 회계·인사·생산·구매 등 주요 경영자원을 통합적으로 관리한다.","판매시점에서 발생하는 거래정보를 수집하여 상품별 판매실적과 재고변동을 파악한다.",2,"TMS(Transportation Management System)는 차량배차, 운송경로 선정, 운송실적 및 화물운송정보 관리 등 운송업무의 효율화를 지원하는 시스템이다. ①은 WMS의 대표적인 기능이며, ③은 MRP, ④는 ERP, ⑤는 POS와 관련된 기능이므로 정답은 ②이다."
78,화물운송론,FT02,중,"트랙터와 트레일러의 결합 형태에 관한 설명으로 옳지 않은 것은?",,"세미트레일러는 트레일러 하중의 일부가 트랙터에 전달되는 구조이다.","풀트레일러는 자체 차축을 갖추고 있어 적재하중을 자체적으로 지지하는 구조이다.","트랙터와 트레일러를 분리할 수 있으면 상·하차 중 트랙터의 대기시간을 줄이는 운용이 가능하다.","트레일러 운송은 화물 특성에 따라 다양한 형태의 차체를 활용할 수 있다.","세미트레일러는 트랙터와 연결하지 않아도 자체 동력으로 장거리 운행할 수 있다.",5,"세미트레일러에는 자체 주행을 위한 동력장치가 없으므로 트랙터와 결합하여 운행한다. 트랙터와 트레일러를 분리해 운용하면 상·하차 작업 중 트랙터의 대기시간을 줄일 수 있다는 장점도 있다."
79,화물운송론,FT02,하,"화물자동차운송의 일반적인 특성으로 가장 적절한 것은?",,"철도에 비해 출발지와 목적지에 대한 접근성이 낮다.","소량화물의 중·단거리 Door-to-Door 운송에 활용하기 어렵다.","도로망을 이용하므로 비교적 다양한 운송경로를 선택할 수 있다.","대량화물의 초장거리 운송에서는 해상운송보다 항상 경제적이다.","교통혼잡이나 도로상황의 영향을 거의 받지 않는다.",3,"화물자동차운송은 도로망을 이용하므로 경로선택의 유연성과 접근성이 높고 Door-to-Door 운송에 유리하다. 반면 교통혼잡의 영향을 받을 수 있으며 대량·장거리 운송에서는 철도나 해상운송보다 경제성이 낮아질 수 있다."
80,화물운송론,FT06,중,"NVOCC(무선박운송인)의 업무와 지위에 관한 설명으로 옳지 않은 것은?",,"자신이 직접 선박을 보유하지 않고 해상운송 서비스를 제공할 수 있다.","실제 선박운송인과 운송계약을 체결하여 화물을 운송할 수 있다.","화주와의 관계에서는 운송인의 지위에서 업무를 수행할 수 있다.","자기 명의의 선하증권을 발행하는 형태로 업무를 수행할 수 있다.","실제 선박을 직접 운항하는 경우에만 NVOCC로서 복합운송 업무를 수행할 수 있다.",5,"NVOCC는 선박을 직접 소유하거나 운항하지 않으면서 화주에 대해서는 운송인의 지위에서 해상운송 서비스를 제공하는 사업자이다. 따라서 직접 선박을 운항해야만 NVOCC가 될 수 있다는 설명은 옳지 않다."
81,국제물류론,IT01,중,"국제물류가 국내물류와 비교하여 일반적으로 갖는 특성에 관한 설명으로 가장 적절하지 않은 것은?",,"국경을 통과하는 과정에서 통관과 각종 무역 관련 절차가 추가될 수 있다.","운송거리가 길어지고 여러 운송주체가 참여하면서 리드타임의 변동성이 커질 수 있다.","국가별 법규·상관습·물류인프라의 차이를 고려한 물류관리가 필요하다.","환율변동이나 국제정세의 변화가 물류비용과 공급계획에 영향을 미칠 수 있다.","운송거리가 길어질수록 수요예측 오차의 영향이 줄어들기 때문에 국내물류보다 안전재고의 필요성이 낮아지는 것이 일반적이다.",5,"국제물류는 장거리 운송과 통관절차, 여러 운송주체의 참여 등으로 리드타임이 길고 변동성이 커질 수 있다. 이러한 불확실성은 재고관리의 어려움을 높이는 요인이므로 운송거리가 길어질수록 안전재고의 필요성이 일반적으로 낮아진다고 볼 수 없다."
82,국제물류론,IT01,중,"국제운송시스템을 설계하거나 운송수단을 선택할 때 고려해야 할 사항으로 가장 적절하지 않은 것은?",,"운송비뿐 아니라 재고유지비와 보관비 등을 포함한 총물류비 관점에서 대안을 비교할 수 있다.","납기 준수의 중요도가 높은 화물은 운송시간뿐 아니라 운송시간의 변동성도 고려할 필요가 있다.","고가·긴급화물은 높은 운임을 부담하더라도 신속한 운송수단의 이용이 경제적일 수 있다.","대량의 저가 벌크화물은 단위당 운송비가 낮은 운송수단을 활용하는 것이 유리할 수 있다.","컨테이너화는 운송단위가 추가되므로 개품화물보다 환적작업이 복잡해지고 일반적으로 하역시간도 증가한다.",5,"컨테이너화는 화물을 일정한 단위로 묶어 취급함으로써 하역의 기계화와 신속화를 가능하게 하고 운송수단 간 환적을 용이하게 한다. 따라서 개품화물에 비해 하역과 환적의 효율을 높이는 것이 일반적이다."
83,국제물류론,IT01,하,"국제운송 네트워크에서 소수의 중심거점에 화물을 집결시킨 후 대형 운송수단을 이용하여 중심거점 간 대량운송을 하고, 주변의 소규모 거점은 중심거점과 연결하는 방식은?",,"Point-to-Point System","Cross Docking System","Hub & Spoke System","Vendor Managed Inventory","Continuous Replenishment Program",3,"Hub & Spoke 시스템은 여러 지역의 화물을 Hub에 집결하여 대량화한 뒤 주요 Hub 사이를 운송하고, 주변 지역은 Spoke 노선으로 연결하는 방식이다. 노선 수를 줄이고 간선구간의 운송물량을 집중하여 규모의 경제를 얻는 데 유리하다."
84,국제물류론,IT01,하,"국제물류에서 국내물류보다 상대적으로 중요하게 고려되는 위험요인으로 가장 거리가 먼 것은?",,"국가 간 환율변동에 따른 비용위험","통관절차 지연에 따른 리드타임 변동","국가별 법규와 무역제도의 차이","국제운송 과정에서 발생할 수 있는 정치적·지정학적 위험","국경 통과가 증가함에 따라 무역 관련 서류와 행정절차가 단순화되는 효과",5,"국제물류에서는 국가별 법규와 통관제도, 환율, 정치·경제환경 등의 차이로 국내물류보다 관리해야 할 위험요인이 많아질 수 있다. 또한 국경을 통과하면서 통관과 무역서류 등의 추가 절차가 발생할 수 있으므로 행정절차가 자연스럽게 단순화된다고 보기 어렵다."
85,국제물류론,IT02,하,"항해용선계약에서 선박이 약정된 Cancelling Date까지 지정된 장소에 도착하여 선적준비를 완료하지 못한 경우 용선자에게 계약을 해제할 수 있는 선택권을 인정하는 조항은?",,"Laytime Clause","Demurrage Clause","Off-hire Clause","Cancelling Clause","Deviation Clause",4,"Cancelling Clause는 선박이 용선계약에서 정한 기일까지 지정된 장소에 도착하여 선적준비를 갖추지 못한 경우 용선자에게 계약을 해제할 수 있는 권리를 인정하는 조항이다. Laytime은 약정된 정박기간, Demurrage는 이를 초과하여 발생하는 체선과 관련된다."
86,국제물류론,IT04,중,"해운과 관련된 제도 및 개념에 관한 설명으로 가장 적절한 것은?",,"편의치적은 선박이 입항한 외국 항만의 당국이 국제협약 준수 여부를 검사하는 제도이다.","항만국통제는 선박소유자가 세금이나 선원비 등의 부담을 고려하여 자국 이외의 국가에 선박을 등록하는 제도이다.","편의치적은 선박소유자가 비용·규제 등의 조건을 고려하여 선박을 실질적 소유자의 국가와 다른 국가에 등록하는 것과 관련된다.","ISPS Code는 자국 해운산업을 보호하기 위하여 외국적선의 연안운송을 제한하는 제도를 의미한다.","Cabotage는 선박과 항만시설에 대한 국제적인 보안관리체계를 의미한다.",3,"편의치적(Flag of Convenience)은 선박소유자가 세금, 선원비, 등록조건, 규제 등의 요인을 고려하여 실질적 소유자의 국가가 아닌 다른 국가에 선박을 등록하는 것과 관련된다. 항만국통제는 외국적 선박의 국제협약 준수 여부 등에 대한 항만국의 점검이며, ISPS Code는 선박과 항만시설의 보안, Cabotage는 국내운송권 제한과 관련된 개념이다."
87,국제물류론,IT02,중,"선급제도와 선급협회에 관한 설명으로 가장 적절하지 않은 것은?",,"선급제도는 선박의 구조와 설비 등이 일정한 기술기준을 충족하는지 검사·평가하는 것과 관련된다.","선급협회는 선박의 검사와 선급의 부여·유지 등을 위한 업무를 수행할 수 있다.","선급은 선박의 안전성과 감항성 등을 기술적으로 평가하는 데 활용될 수 있다.","선박은 건조 이후에도 정기검사 등을 통해 선급 유지에 필요한 요건을 확인받을 수 있다.","선급협회가 선급을 부여하면 해당 선박의 모든 항해에 대해 정부를 대신하여 운항허가를 부여한 것으로 간주된다.",5,"선급협회는 선박의 구조·설비 등을 기술기준에 따라 검사하고 선급을 부여·관리하는 역할을 수행한다. 그러나 선급의 부여가 정부의 모든 법적 검사나 운항허가를 대신한다는 의미는 아니다. 선급검사와 정부의 법정검사는 목적과 법적 근거가 구별될 수 있다."
88,국제물류론,IT01,상,"글로벌 유통기업 A사는 여러 국가에 각각 재고거점을 운영하던 방식에서 벗어나 특정 권역의 중앙물류센터에 재고를 집중하는 방안을 검토하고 있다. 이러한 재고집중화 전략에 관한 설명으로 가장 적절하지 않은 것은?",,"여러 시장의 수요변동을 통합함으로써 Risk Pooling 효과를 기대할 수 있다.","분산된 안전재고를 통합하여 전체 재고수준을 낮출 가능성이 있다.","국가별 재고의 과부족을 중앙거점에서 조정하여 재고운영의 효율성을 높일 수 있다.","재고거점의 수가 감소하면 시설운영비 등의 일부 고정비를 절감할 가능성이 있다.","재고를 중앙거점에 집중할수록 개별 시장과 재고거점 사이의 평균 운송거리가 단축되므로 고객 주문에 대한 배송시간도 일반적으로 감소한다.",5,"재고집중화는 여러 시장의 수요변동을 통합하는 Risk Pooling 효과를 통해 안전재고와 재고관련비용을 줄이는 데 도움이 될 수 있다. 그러나 재고거점의 수가 감소하면 일부 고객과 재고거점 사이의 거리가 오히려 길어질 수 있어 최종 배송시간과 운송비가 증가할 가능성도 있다. 따라서 재고집중화가 평균 운송거리를 반드시 단축시킨다고 볼 수 없다."
89,국제물류론,IT02,하,"컨테이너 화물이 선사의 CY에 반입된 시점부터 본선에 선적될 때까지 또는 양하된 후 CY에서 반출될 때까지 터미널에서 이루어지는 화물취급과 관련하여 부과되는 비용은?",,"BAF(Bunker Adjustment Factor)","CAF(Currency Adjustment Factor)","THC(Terminal Handling Charge)","Detention Charge","Demurrage Charge",3,"THC(Terminal Handling Charge)는 컨테이너가 터미널에 반입된 후 본선에 선적되거나 본선에서 양하된 후 반출되는 과정에서 발생하는 터미널 화물취급과 관련된 비용이다. Detention과 Demurrage는 컨테이너 또는 터미널의 Free Time 초과 사용과 관련된 비용개념이므로 구별해야 한다."
90,국제물류론,IT02,중,"정기선(Liner) 운송과 부정기선(Tramper) 운송의 특징에 관한 설명으로 가장 적절하지 않은 것은?",,"정기선은 일반적으로 일정한 항로와 운항일정에 따라 운송서비스를 제공한다.","정기선 운송에서는 공표된 운임표(Tariff)가 활용될 수 있다.","해운동맹(Shipping Conference)은 전통적으로 정기선 운송과 관련된 개념이다.","부정기선은 특정 화물의 운송수요에 따라 항로와 운항일정이 결정될 수 있다.","부정기선 운송은 불특정 다수의 화주를 대상으로 공표된 일정에 따라 반복 운항하는 것을 기본적인 특징으로 한다.",5,"불특정 다수의 화주를 대상으로 일정한 항로와 운항일정에 따라 서비스를 제공하는 것은 정기선의 대표적인 특징이다. 부정기선은 주로 대량 벌크화물 등의 운송수요에 따라 운항하며 용선계약(Charter Party)이 중요한 계약수단으로 이용된다."
91,국제물류론,IT03,상,"항공화물 운송 중 발생할 수 있는 Irregularity와 그 의미를 연결한 것으로 가장 적절하지 않은 것은?",,"Cross Labelled - 화물의 라벨이나 운송장 정보 등이 서로 바뀌어 잘못 표시된 상태","Off-Load - 탑재공간 부족이나 운항상의 사유 등으로 예정된 항공편에서 화물이 내려지거나 탑재되지 않은 상태","Over-Carried - 화물이 예정된 하역지점을 지나 다른 지점까지 운송된 상태","Short-Shipped - 운송서류에는 포함되어 있으나 예정된 항공편에 화물의 전부 또는 일부가 탑재되지 않은 상태","Miss-Connected - 화물이 운송과정에서 소재불명되어 위치를 확인할 수 없는 Missing 상태",5,"Miss-Connected는 연결편 운송과정에서 예정된 연결이 이루어지지 않아 화물이 계획된 운송흐름에서 벗어난 상태와 관련된다. 화물의 위치를 확인할 수 없는 소재불명 상태 자체는 Missing과 구별해야 한다."
92,국제물류론,IT02,상,"국제해상물품운송에서 운송인의 화물손해에 대한 책임제한에 관한 설명으로 가장 적절하지 않은 것은?",,"운송인의 책임한도는 적용되는 국제협약이나 국내법에 따라 서로 다르게 정해질 수 있다.","일부 국제규범에서는 포장 또는 선적단위를 기준으로 한 한도와 화물의 중량을 기준으로 한 한도를 비교하여 책임한도를 산정한다.","SDR은 국제운송에서 운송인의 책임한도를 표시하기 위한 계산단위로 사용될 수 있다.","운송인의 책임제한제도는 일정한 요건에서 손해배상책임의 최대범위를 제한하는 기능을 한다.","책임제한이 인정되는 경우 실제 손해액이 책임한도보다 작더라도 운송인은 항상 책임한도 전액을 배상하여야 한다.",5,"책임제한액은 운송인이 부담할 수 있는 배상책임의 상한을 의미하는 것이지 실제 손해액과 관계없이 지급해야 하는 정액배상액을 의미하지 않는다. 따라서 실제 인정되는 손해액이 책임한도보다 작다면 원칙적으로 그 손해액의 범위에서 배상책임이 문제된다. 국제해상운송에서는 적용되는 협약이나 법에 따라 포장·선적단위 또는 중량기준 등의 책임한도가 사용될 수 있다."
93,국제물류론,IT02,상,"항해용선계약의 정박기간(Laytime)에 관한 조건을 연결한 것으로 가장 적절하지 않은 것은?",,"WWD(Weather Working Days) - 기상상태상 하역작업이 가능한 작업일을 기준으로 정박기간을 계산한다.","SHEX(Sundays and Holidays Excepted) - 일요일과 공휴일을 원칙적으로 정박기간 계산에서 제외한다.","SHINC(Sundays and Holidays Included) - 일요일과 공휴일도 정박기간 계산에 포함한다.","SHEX UU(Sundays and Holidays Excepted Unless Used) - 일요일과 공휴일에 실제 작업을 하더라도 해당 작업시간은 정박기간 계산에서 제외한다.","Running Days - 특별한 제외조건이 없다면 정박기간이 연속적으로 진행되는 방식이다.",4,"SHEX UU는 Sundays and Holidays Excepted Unless Used의 약자로 일요일과 공휴일을 원칙적으로 제외하지만 실제로 작업한 경우 그 사용시간을 정박기간 계산에 반영하는 조건이다. 따라서 실제 작업시간까지 제외한다는 ④가 적절하지 않다."
94,국제물류론,IT03,하,"공항 화물터미널에서 항공기와 터미널 사이에 파렛트나 컨테이너 등 ULD를 견인하여 이동시키는 차량은?",,"High Loader","Tug Car","Nose Dock","Work Station","Self-Propelled Conveyor",2,"Tug Car는 공항 화물터미널에서 파렛트나 컨테이너 등을 연결하여 견인·이동시키는 차량이다. High Loader는 ULD 등을 항공기 화물칸 높이에 맞추어 탑재·하역하는 장비이며, Work Station은 화물의 Build-up 또는 Break-down 작업 등에 사용된다."
95,국제물류론,IT02,중,"항해용선계약에서 선박이 약정된 선적준비일보다 지나치게 일찍 도착하더라도 특정일 이전에는 용선자가 선적 또는 하역을 개시할 의무를 부담하지 않도록 정하는 조항은?",,"Lien Clause","General Average Clause","Not Before Clause","Off-hire Clause","Demurrage Clause",3,"Not Before Clause는 선박이 예정보다 일찍 도착하더라도 계약에서 정한 특정일 이전에는 용선자가 선적 또는 하역을 개시할 의무를 부담하지 않도록 하는 조항이다. Cancelling Clause가 약정된 최종기일까지 선박이 준비되지 못한 경우와 관련된다면, Not Before Clause는 지나치게 이른 도착에 대한 용선자의 부담을 조정하는 기능을 한다."
96,국제물류론,IT03,중,"항공화물운송장(AWB)에 기재되는 항목에 관한 설명으로 가장 적절하지 않은 것은?",,"Chargeable Weight에는 운임산정에 적용되는 중량을 기재하며 실제중량과 용적중량의 비교가 영향을 미칠 수 있다.","Declared Value for Carriage는 운송과 관련하여 송하인이 신고한 화물가액을 표시하는 항목이다.","Nature and Quantity of Goods에는 화물의 품명·수량 등 화물에 관한 정보를 기재할 수 있다.","Amount of Insurance는 보험과 관련하여 필요한 경우 해당 금액을 표시하는 항목이다.","Declared Value for Carriage에는 항공사가 화물에 대해 평가한 시장가격을 기재하며 송하인의 신고가액은 반영되지 않는다.",5,"Declared Value for Carriage는 운송을 위하여 송하인이 신고한 가액과 관련된 항목이다. 항공사가 독자적으로 평가한 시장가격을 기록하는 항목이라고 볼 수 없다. Chargeable Weight는 항공운임 산정에 적용되는 중량이라는 점도 함께 구별해야 한다."
97,국제물류론,IT03,중,"항공화물 운송과정에서 항공사가 송하인 또는 그 대리인을 대신하여 관세·보관료 등 일정한 비용을 먼저 지급하고, 이를 수하인에게 회수하는 경우 해당 선지급금과 관련하여 부과할 수 있는 수수료는?",,"Charges Collect Fee","Disbursement Fee","Dangerous Goods Handling Fee","Pick-up Service Charge","Security Surcharge",2,"Disbursement Fee는 항공사 등이 송하인 또는 대리인을 대신하여 관세나 보관료 등 일정한 비용을 선지급하고 이를 수하인으로부터 회수하는 과정과 관련하여 부과되는 수수료이다. Charges Collect Fee는 착불운임 등의 징수와 관련된 수수료라는 점에서 구별된다."
98,국제물류론,IT04,중,"FIATA 복합운송증권(FBL)에 관한 설명으로 가장 적절하지 않은 것은?",,"FBL을 발행하는 복합운송인은 자기 명의로 복합운송계약을 인수하고 계약운송인으로서 책임을 부담할 수 있다.","복합운송인이 운송의 일부 구간을 실제운송인에게 맡기더라도 그 사실만으로 화주에 대한 계약상 책임이 당연히 소멸하는 것은 아니다.","FBL은 복합운송에서 사용될 수 있으며 일정한 요건을 갖춘 경우 유통가능한 운송증권으로 기능할 수 있다.","복합운송인은 자신이 직접 수행하지 않은 운송구간에서 발생한 손해에 대해서는 어떠한 경우에도 FBL에 따른 책임을 부담하지 않는다.","FBL은 하나의 계약 아래 서로 다른 운송수단이 결합되는 국제복합운송에서 활용될 수 있다.",4,"FBL을 발행한 복합운송인은 계약운송인으로서 복합운송계약에 따른 책임을 부담할 수 있다. 실제 운송의 일부를 다른 운송인에게 맡겼다는 이유만으로 해당 구간에 대한 화주와의 계약상 책임이 당연히 없어지는 것은 아니다. 따라서 ④가 적절하지 않다."
99,국제물류론,IT03,하,"다음 중 국제항공운송과 직접적으로 관련된 국제규범 또는 협약은?",,"CMR","CIM","몬트리올협약(Montreal Convention)","Hague-Visby Rules","Hamburg Rules",3,"몬트리올협약은 국제항공운송에서 운송인의 책임 등을 규율하는 대표적인 국제협약이다. CMR은 국제도로화물운송, CIM은 국제철도화물운송과 관련되며 Hague-Visby Rules와 Hamburg Rules는 국제해상물품운송과 관련된다."
100,국제물류론,IT04,상,"1980년 UN 국제물품복합운송조약에서 규정하고 있는 복합운송의 기본적인 책임구조에 관한 설명으로 가장 적절하지 않은 것은?",,"국제복합운송은 복합운송계약에 따라 적어도 두 가지 이상의 서로 다른 운송방식으로 물품을 운송하는 것을 전제로 한다.","복합운송인은 복합운송계약을 자기 명의로 체결하고 계약의 이행에 관한 책임주체가 될 수 있다.","복합운송인이 운송의 일부를 실제운송인에게 맡겼더라도 그러한 사실만으로 복합운송계약상 책임에서 당연히 벗어나는 것은 아니다.","복합운송인의 책임기간은 원칙적으로 물품을 인수한 때부터 인도한 때까지의 운송과정과 관련된다.","손해가 발생한 운송구간을 특정할 수 있는 경우에는 복합운송인과 화주 사이의 계약관계가 소멸하고 화주는 해당 구간의 실제운송인에게만 손해배상을 청구할 수 있다.",5,"복합운송인은 하나의 복합운송계약에 따라 전체 운송을 인수하는 계약상의 주체이다. 운송의 일부를 다른 운송인에게 맡기거나 손해발생구간을 특정할 수 있다는 이유만으로 화주와 복합운송인 사이의 계약관계가 소멸하는 것은 아니다. 따라서 화주가 반드시 실제운송인에게만 청구해야 한다는 ⑤가 적절하지 않다."
101,국제물류론,IT02,하,"다음 중 화물의 특성과 이에 적합한 컨테이너의 연결로 가장 적절한 것은?",,"의류를 옷걸이에 건 상태로 운송하여 구김을 줄일 필요가 있는 화물 - Garment Container","액체화물을 탱크에 저장하여 운송하는 화물 - Open Top Container","높이가 일반 컨테이너의 문을 통과하기 어려운 대형기계류 - Insulated Container","냉동·냉장 상태의 온도관리가 필요한 식품 - Flat Rack Container","상부에서 크레인을 이용하여 적입해야 하는 중량화물 - Tank Container",1,"Garment Container는 내부에 행거 등의 설비를 갖추어 정장이나 셔츠 등의 의류를 옷걸이에 건 상태로 운송하는 데 적합하다. 액체화물에는 Tank Container, 상부 적입이 필요한 화물에는 Open Top Container 등이 활용될 수 있다. 따라서 ①이 가장 적절하다."
102,국제물류론,IT04,중,"전자제품을 아시아에서 유럽으로 운송하려는 기업이 전 구간 항공운송보다 운송비를 낮추면서 전 구간 해상운송보다 운송시간을 단축하기 위해 Sea & Air 복합운송을 검토하고 있다. Sea & Air 운송에 관한 설명으로 가장 적절한 것은?",,"전 구간을 하나의 해상운송수단으로 운송하여 환적을 없애는 방식이다.","해상운송과 항공운송을 결합하여 비용과 운송시간 사이의 절충을 도모할 수 있다.","항공운송 구간이 포함되므로 일반적으로 전 구간 항공운송보다 운송시간이 짧다.","해상운송 구간이 포함되더라도 전 구간 항공운송과 동일한 운임이 적용되는 것이 원칙이다.","운송수단이 변경되므로 하나의 운송계약에 의한 복합운송 형태로 운영될 수 없다.",2,"Sea & Air는 해상운송의 상대적으로 낮은 비용과 항공운송의 신속성을 결합하는 복합운송방식이다. 일반적으로 전 구간 해상운송보다 빠르고 전 구간 항공운송보다 비용을 절감할 가능성이 있어 운송시간과 비용 사이의 절충대안으로 활용될 수 있다."
103,국제물류론,IT02,하,"컨테이너화(Containerization)의 일반적인 효과로 가장 적절하지 않은 것은?",,"하역작업의 기계화에 유리하다.","운송수단 간 환적작업을 효율화할 수 있다.","화물의 파손이나 도난 위험을 줄이는 데 도움이 될 수 있다.","규격화된 운송단위를 이용하여 일관운송을 촉진할 수 있다.","화물을 컨테이너에 적입하면 컨테이너 내부의 적재공간이 항상 완전히 활용되므로 공간손실이 발생하지 않는다.",5,"컨테이너화는 하역의 기계화, 환적의 효율화, 화물보호 및 일관운송 등에 유리하다. 그러나 화물의 크기와 형태에 따라 컨테이너 내부에 빈 공간이 생길 수 있으며 모든 화물이 컨테이너 운송에 적합한 것도 아니다. 따라서 공간이 항상 완전히 활용된다는 설명은 적절하지 않다."
104,국제물류론,IT03,중,"항공화물운송장(AWB)의 기능에 관한 설명으로 가장 적절하지 않은 것은?",,"항공운송계약이 체결되었다는 사실을 나타내는 증거로 활용될 수 있다.","항공사가 화물을 인수하였음을 나타내는 화물수령증의 기능을 수행할 수 있다.","운임 및 기타 요금의 계산에 필요한 자료로 활용될 수 있다.","통관과 화물취급 등에 필요한 정보를 제공하는 자료로 활용될 수 있다.","해상선하증권과 동일하게 유가증권으로서 배서에 의해 화물의 소유권을 이전하는 기능을 갖는 것이 일반적이다.",5,"AWB는 운송계약의 증거, 화물수령증, 운임계산서, 통관 및 화물취급 관련 자료 등의 기능을 수행한다. 그러나 일반적인 AWB는 비유통성 서류로 해상선하증권과 같은 권리증권의 성격을 갖지 않으므로 배서에 의해 화물의 소유권을 이전하는 기능을 갖는다고 볼 수 없다."
105,국제물류론,IT02,중,"항만시설과 그 기능을 연결한 것으로 가장 적절하지 않은 것은?",,"Anchorage - 선박이 닻을 내리고 대기할 수 있도록 지정된 수역","Bitt - 계선줄을 걸어 선박을 부두에 고정하는 데 사용하는 계선시설","Fender - 선박의 접안 과정에서 선체와 안벽 사이의 충격을 완화하는 시설","Turning Basin - 항만 내에서 선박이 방향을 전환할 수 있도록 확보된 수역","Breakwater - 선박에 컨테이너를 직접 적재하거나 양하하기 위해 안벽에 설치하는 하역장비",5,"Breakwater(방파제)는 외해에서 들어오는 파랑의 영향을 줄여 항내 수역과 항만시설을 보호하는 구조물이다. 컨테이너를 본선에 적재하거나 양하하는 대표적인 안벽 하역장비는 컨테이너 크레인 등의 장비이므로 ⑤의 연결이 적절하지 않다."
106,국제물류론,IT02,하,"부정기선 운송에서 화물의 실제 적재량과 관계없이 항해 또는 선복 전체를 기준으로 일괄하여 정하는 운임은?",,"Dead Freight","Lump Sum Freight","Demurrage","Despatch Money","Option Surcharge",2,"Lump Sum Freight는 화물의 실제 수량이나 중량에 따라 개별적으로 운임을 계산하기보다 항해 또는 일정 선복을 기준으로 총액을 정하는 방식이다. Dead Freight는 계약된 화물량보다 실제 선적량이 부족하여 발생한 미사용 선복에 대해 부과되는 운임이라는 점에서 구별된다."
107,국제물류론,IT02,중,"선하증권(B/L)의 일반적인 기능에 관한 설명으로 가장 적절하지 않은 것은?",,"운송인이 화물을 수령하거나 선적하였음을 나타내는 영수증의 기능을 할 수 있다.","운송계약의 내용과 존재를 증명하는 자료로 활용될 수 있다.","일정한 요건을 갖춘 선하증권은 화물에 대한 권리를 나타내는 권리증권으로 기능할 수 있다.","선하증권에는 운송물의 식별과 운송에 필요한 사항 등이 기재될 수 있다.","선하증권이 발행되면 화물의 소유권은 운송인에게 이전되므로 운송인은 해당 화물을 자신의 재산으로 처분할 수 있다.",5,"선하증권은 대표적으로 화물수령증, 운송계약의 증거 및 권리증권의 기능을 할 수 있다. 선하증권의 발행 자체가 화물의 소유권을 운송인에게 이전하여 운송인이 임의로 처분할 수 있게 하는 것은 아니다."
108,국제물류론,IT01,중,"국제물류정보시스템과 그 기능을 연결한 것으로 가장 적절한 것은?",,"CVO(Commercial Vehicle Operation) - 차량의 위치와 운행상태 등의 정보를 활용하여 화물차량의 운행 및 수·배송 관리를 지원한다.","WMS(Warehouse Management System) - 국제운송 차량의 실시간 위치추적과 도착예정시간 예측만을 전담한다.","RFID(Radio Frequency Identification) - 공급자가 소매업체의 재고수준을 직접 결정하고 보충하는 재고관리방식이다.","VMI(Vendor Managed Inventory) - 무선주파수를 이용하여 태그에 저장된 정보를 비접촉 방식으로 인식하는 기술이다.","ECR(Efficient Consumer Response) - 창고 내 보관위치와 입출고 작업을 통제하는 창고관리시스템이다.",1,"CVO는 차량의 위치와 운행정보 등을 활용하여 화물차량의 운행관리와 수·배송 효율화를 지원하는 시스템과 관련된다. WMS는 창고관리, RFID는 무선주파수 기반의 자동인식기술, VMI는 공급자 주도의 재고관리, ECR은 유통업체와 제조업체 등의 협력을 통한 효율적 소비자 대응과 관련된다."
